crypto,model_type,MAE,MSE,RMSE,MAPE (%),R2
BTC,GRU,1146.0229321971954,2916420.6418867516,1707.75309746074,2.526062224546224,0.9869227677820085
ETH,GRU,66.78026471892763,9743.943418532297,98.71141483401145,2.655017971449965,0.9781979175542163
BNB,GRU,11.057782877636955,332.1959967684942,18.226244724805333,2.8557689672004596,0.9828556751790456
ADA,GRU,0.017889472364757672,0.000758691206405504,0.027544349809089777,3.8602479463543435,0.9666757555366181
SOL,GRU,4.854035250080749,58.67239108778776,7.659790538114457,5.864999796478177,0.9812088934695301
XRP,GRU,0.018729255525508158,0.001134329845508734,0.033679813620457195,3.1595227463611977,0.7785169654025019
LTC,Bi-LSTM,2.923520203379287,19.37832613392657,4.402082022625949,3.6754623549424132,0.863105585084624
LINK,GRU,0.6012970016320773,0.7197413603101718,0.8483757188358068,4.7272386802480675,0.9692517604859364
DOGE,GRU,0.004610810178388236,6.836058494439544e-05,0.008268046017312401,4.024969471139603,0.9581056503990426
SHIB,GRU,7.199193928596407e-07,2.9290293980279523e-12,1.7114407375156033e-06,4.381922087552314,0.9542085456060002
MANA,GRU,0.023106293994709443,0.0010679181385870678,0.032679016793457354,5.0594217310575695,0.913702047802004
VET,GRU,0.0012468831566193775,3.7655912806984e-06,0.0019405131488084279,4.1377853096424015,0.967659690083565
XMR,GRU,3.6116782307255497,33.98404643104448,5.829583727080732,2.525304546294716,0.8732362591629848
BCH,GRU,18.171766180874833,1023.9637527871937,31.999433632287833,5.493657568017289,0.9271112351005343
AVAX,GRU,1.49466274076195,5.50489677241659,2.3462516430290656,5.070813859164447,0.9751543555680092
TRX,GRU,0.00454479766252581,3.0580089276012556e-05,0.0055299266971644894,4.1691896982153684,0.9197688011755722
MATIC,GRU,0.03302981351632029,0.0020522104373780253,0.045301329311379215,4.2246037889707955,0.9268865155650643
CRO,GRU,0.0034410429478797253,3.3103328428327175e-05,0.005753549202738009,3.516257135728381,0.9704685576649472
RNDR,GRU,0.33958221439565756,0.35661467712877626,0.5971722340571238,6.00182941944931,0.9662588770692873
XTZ,GRU,0.037505869275487345,0.0028733952662834553,0.05360406016603085,3.8557211895831367,0.9351222550756141
BAT,LSTM,0.009542970976180782,0.00018828176915124665,0.013721580417402604,4.0168782335176925,0.9123285366684585
SC,GRU,0.0004354427850027756,8.9422452394013e-07,0.0009456344557703733,5.83763196472438,0.9122506107237387
FTM,LSTM,0.02795194253367831,0.002380025628127991,0.04878550633259832,5.628912505142954,0.9591150057339258
DCR,GRU,0.9146203903271103,1.7346623507345102,1.317065811087096,5.095647665838273,0.9068616632997062
MKR,GRU,91.49046257125116,19907.86463745808,141.0952325114427,4.762330713780945,0.9662447712515938
ATOM,GRU,0.39836987342936525,0.28695069220600944,0.5356777876727851,4.322235201654786,0.9012193019140294
STX,GRU,0.09799387577272986,0.02801945174424008,0.16739011841874082,5.788644870104678,0.9702536203679248
XLM,LSTM,0.0043210773701783,4.7324227757592086e-05,0.006879260698475679,3.472503977705357,0.7462423785002913
QNT,GRU,4.0850830704828835,31.903498917999624,5.64831823802445,3.7309829481302597,0.7953354456345725
NEO,Bi-LSTM,0.5653299034222752,0.8393385753969282,0.9161542312279785,4.547300440034162,0.9370619607352126
